,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Jonny Bairstow,3.4571,3.4571,3.9047,2.7464,4.3216,
Manish Pandey,2.6438,3.2691,3.6716,2.5456,3.7616,
Kane Williamson,2.6994,2.6994,2.4514,3.8726,3.7214,
Priyam Garg,2.313,2.313,0,1.0672,3.3808,
Vijay Shankar,2.162,2.162,2.909,3.3038,0.2566,
Shane Watson,2.9258,3.8855,3.1684,4.0473,3.5192,
Faf du Plessis,2.956,2.956,3.502,3.1228,3.9454,
Ambati Rayudu,2.8799,3.2691,2.788,4.3225,3.113,
Sam Curran,1.8312,2.313,2.504,1.0116,2.41,
MS Dhoni,3.951,4.2076,3.9282,4.3914,3.6902,
Ravindra Jadeja,2.4186,2.899,2.822,2.9718,3.656,
Dwayne Bravo,2.4186,2.7308,1.9696,2.1808,1.4706,
Shikhar Dhawan,2.6994,3.8042,3.7714,3.7714,3.2312,
Prithvi Shaw,2.3686,2.3686,3.1784,2.5468,3.5504,
Ajinkya Rahane,1.562,3.8296,3.5285,0.8338,1.7458,
Shreyas Iyer,2.9232,2.9232,3.6076,2.9646,2.567,
Marcus Stoinis,2.772,2.5882,3.3736,2.8292,4.0322,
Alex Carey,1.0116,1.0116,0,0,0,
Axar Patel,1.6802,1.904,2.3844,2.2262,1.0176,
Ravichandran Ashwin,0.8338,1.753,1.5632,2.403,1.7004,
Jos Buttler,3.2538,3.107,3.1398,3.2852,2.0352,
Ben Stokes,1.6802,2.3981,2.2974,2.0752,1.0176,
Steven Smith,2.6438,3.1921,3.0944,3.7114,1.5308,
Sanju Samson,2.6775,2.8118,3.6239,2.3844,2.1408,
Robin Uthappa,1.411,3.3224,2.8848,3.388,2.8222,
Riyan Parag,2.162,2.162,2.8776,2.0438,3.3466,
Rahul Tewatia,2.772,2.3458,1.9882,2.5654,3.4976,
Devdutt Padikkal,2.621,2.621,0,0.8338,2.631,
Aaron Finch,2.0438,2.497,0,3.0202,3.026,
Virat Kohli,4.1977,4.1977,3.8335,3.4145,3.6032,
