,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Krunal Pandya,2.7123,2.7123,3.5175,1.7194,2.1216,1.7319,0,1
James Pattinson,1.8718,1.8718,0,2.6455,2.3344,2.4719,0,1
Rahul Chahar,2.129,2.129,3.3539,2.6455,1.9725,0.5801,0,0
Trent Boult,1.9693,2.8725,2.2158,2.7665,2.6326,2.4719,0,1
Jasprit Bumrah,3.1297,3.3931,4.1531,2.5245,4.0941,2.3328,0,1
Abhishek Sharma,1.0987,1.0987,2.034,0.9202,0,0,0,0
Abdul Samad,1.0987,1.0987,0,1.1079,0.6354,0.5801,0,0
Rashid Khan,2.8098,2.8098,3.9654,2.4578,4.0473,2.1492,0,0
Siddarth Kaul,2.7321,2.9955,2.234,1.792,3.6052,2.0546,0,1
T Natarajan,1.5166,1.2589,0,2.2158,0.6354,0.8584,0,0
Sandeep Sharma,2.0315,3.8353,2.9483,1.4833,4.0941,2.9129,0,1
KL Rahul,3.6242,3.7526,4.2755,3.7465,3.502,4.6136,1,1
Mayank Agarwal,2.5491,2.6775,3.0728,3.6909,2.641,4.266,1,1
Mandeep Singh,2.3858,2.4086,3.663,2.2902,2.5456,2.3558,1,1
Nicholas Pooran,2.2574,2.2574,2.5468,2.4484,2.7164,2.2918,1,1
Glenn Maxwell,2.5924,2.5924,0,1.6676,3.5974,1.9384,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.562,3.1342,2.4286,1,1
Ravi Bishnoi,0.8338,0.8338,0,0.8338,0,0,1,0
Shane Watson,3.0768,3.8855,3.1684,2.8776,3.6602,3.6888,1,1
Ambati Rayudu,2.8799,3.2691,2.788,2.621,3.1784,2.3974,1,0
Faf du Plessis,2.956,2.956,3.502,3.566,4.092,4.3716,1,1
Kedar Jadhav,1.4338,2.4414,2.138,1.562,1.4396,1.7332,1,0
MS Dhoni,3.951,4.2076,3.9282,2.9916,4.447,3.8598,1,0
Ravindra Jadeja,2.4186,2.899,2.822,2.3458,3.1656,3.8256,1,0
Dwayne Bravo,2.4186,2.7308,1.9696,0,3.398,0,1,0
Sam Curran,2.2902,2.313,2.504,2.2902,0,1.301,1,0
Glenn Maxwell,1.6763,1.6763,0,1.1079,1.6795,1.3647,0,0
Chris Jordan,0.6808,1.6396,0,0.6115,0.6354,1.4385,0,0
Harpreet Brar,0.6808,0.6808,0.6115,0.6115,0.9531,0.8584,0,0
